"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"5.779","0.044","0.324","1.373","0.926","0.731","2.392","0.373","5.044","3.897","5.262","0.016",40.265
"5.625","0.041","0.316","1.356","0.937","0.716","2.184","0.388","5.046","3.842","4.517","0.021",40.615
"5.421","0.042","0.311","1.431","0.971","0.706","2.181","0.455","4.773","3.942","3.278","0.017",40.965
"4.951","0.040","0.311","1.370","0.942","0.686","2.192","0.478","3.960","3.892","2.268","0.019",41.315
"6.133","0.043","0.314","1.329","0.950","0.689","2.182","0.469","3.987","3.878","1.746","0.017",41.665
"6.841","0.043","0.314","1.225","0.931","0.690","2.118","0.464","3.837","3.845","1.599","0.022",42.015
"7.638","0.044","0.315","1.195","0.967","0.686","2.030","0.509","3.609","3.918","1.680","0.020",42.365
"6.533","0.040","0.306","1.179","0.974","0.663","1.979","0.501","2.656","3.871","1.644","0.017",42.715
"4.923","0.040","0.298","1.113","1.006","0.646","2.106","0.617","2.895","3.861","1.604","0.013",43.065
"5.747","0.043","0.304","1.126","1.011","0.656","2.218","0.639","4.297","3.932","1.457","0.022",43.415
"5.147","0.048","0.305","1.128","0.982","0.661","2.194","0.574","4.767","3.980","1.407","0.024",43.765
"6.289","0.047","0.312","1.087","0.948","0.670","2.333","0.399","5.045","3.903","1.391","0.025",44.115
"5.002","0.046","0.322","1.024","0.972","0.687","2.152","0.281","3.904","3.856","1.424","0.019",44.465
"5.089","0.044","0.326","0.968","1.005","0.692","2.301","0.356","3.430","3.769","1.426","0.019",44.815
"4.882","0.044","0.326","0.978","1.051","0.702","2.326","0.334","3.328","3.842","1.684","0.018",45.165
"5.179","0.045","0.312","0.910","1.065","0.697","2.491","0.391","3.616","3.792","1.715","0.013",45.515
"5.910","0.047","0.314","0.888","1.052","0.704","2.320","0.342","3.642","3.862","1.821","0.009",45.865
"6.048","0.046","0.314","0.882","1.010","0.697","2.215","0.427","3.935","3.834","1.553","0.006",46.215
"5.631","0.046","0.310","0.901","1.002","0.692","2.281","0.366","4.064","3.854","1.535","0.007",46.565
"5.464","0.046","0.310","0.858","1.013","0.699","2.396","0.442","4.886","3.842","1.449","0.007",46.915
"5.392","0.046","0.318","0.846","1.046","0.736","2.425","0.514","5.206","3.919","1.427","0.014",47.265
"6.155","0.045","0.328","0.818","1.054","0.770","2.277","0.596","4.700","4.013","1.466","0.014",47.615
"5.637","0.040","0.320","0.811","1.063","0.780","2.203","0.536","3.965","3.962","1.513","0.014",47.965
"4.404","0.039","0.318","0.707","1.036","0.757","2.430","0.393","2.790","3.825","1.616","0.005",48.315
"3.572","0.038","0.313","0.698","1.037","0.753","2.825","0.362","3.413","3.793","1.571","0.005",48.665
"3.630","0.040","0.319","0.683","1.024","0.773","2.865","0.363","3.868","3.873","1.557","0.007",49.016
"4.719","0.042","0.316","0.674","1.075","0.793","2.613","0.420","4.632","3.919","1.536","0.010",49.366
"5.287","0.042","0.317","0.614","1.062","0.790","2.610","0.470","4.331","3.914","1.572","0.014",49.716
"5.254","0.043","0.318","0.609","1.074","0.782","2.892","0.569","3.267","3.859","1.487","0.013",50.066
"4.913","0.040","0.318","0.621","1.022","0.763","3.001","0.488","3.100","3.816","1.591","0.013",50.416
"5.276","0.037","0.305","0.615","0.974","0.750","2.969","0.385","3.425","3.724","1.594","0.016",50.766
"5.823","0.033","0.306","0.606","0.946","0.755","3.085","0.328","4.096","3.723","1.772","0.025",51.116
"6.146","0.037","0.297","0.583","0.923","0.765","2.998","0.394","3.779","3.717","1.664","0.034",51.466
"5.876","0.036","0.318","0.581","0.946","0.790","3.437","0.486","3.943","3.805","1.762","0.030",51.816
"5.313","0.037","0.328","0.595","0.955","0.806","3.373","0.466","3.433","3.930","1.676","0.023",52.166
"5.190","0.037","0.339","0.627","0.999","0.835","3.741","0.413","3.500","4.046","1.732","0.014",52.516
"5.062","0.038","0.329","0.630","1.008","0.839","4.020","0.362","3.413","4.022","1.632","0.020",52.866
"4.307","0.041","0.320","0.608","1.032","0.835","4.302","0.287","3.831","4.011","1.699","0.027",53.216
"3.867","0.033","0.324","0.618","1.034","0.812","4.476","0.286","4.400","3.986","1.722","0.028",53.566
"3.355","0.034","0.328","0.614","1.056","0.833","4.305","0.366","4.134","4.059","1.813","0.021",53.916
"3.933","0.029","0.323","0.646","1.073","0.835","4.479","0.510","4.220","4.028","2.009","0.020",54.266
"4.131","0.036","0.327","0.649","1.080","0.841","5.092","0.590","5.532","4.060","2.033","0.030",54.616
"4.362","0.033","0.328","0.666","1.016","0.808","5.234","0.525","7.201","4.010","2.086","0.031",54.966
"4.951","0.035","0.338","0.619","0.985","0.797","5.316","0.624","7.688","3.935","2.086","0.028",55.316
"5.303","0.031","0.329","0.581","0.948","0.788","5.002","0.608","6.263","3.887","2.141","0.013",55.666
"5.370","0.032","0.330","0.583","0.994","0.813","5.302","0.663","4.298","3.879","2.285","0.017",56.016
"5.234","0.033","0.336","0.629","1.003","0.821","6.029","0.530","3.805","3.929","2.223","0.017",56.366
"5.448","0.034","0.331","0.615","1.016","0.831","6.321","0.554","4.898","3.949","2.490","0.026",56.716
"5.966","0.034","0.327","0.604","1.006","0.831","6.669","0.494","5.693","3.991","2.395","0.025",57.066
"5.860","0.031","0.326","0.570","1.027","0.854","6.985","0.463","6.215","4.036","2.553","0.023",57.417
"5.459","0.030","0.329","0.560","1.041","0.866","7.286","0.368","5.110","4.114","2.600","0.024",57.767
"4.108","0.031","0.332","0.568","1.009","0.844","7.050","0.389","6.741","4.106","2.746","0.026",58.117
"4.330","0.032","0.323","0.539","1.009","0.816","7.210","0.370","7.718","4.070","2.821","0.025",58.467
"3.899","0.030","0.317","0.567","0.997","0.809","7.411","0.461","8.783","3.946","2.914","0.035",58.817
"4.981","0.030","0.321","0.539","1.068","0.825","7.835","0.492","8.455","4.043","3.096","0.034",59.166
"4.590","0.028","0.326","0.555","1.041","0.824","7.676","0.544","7.452","4.022","3.089","0.033",59.517
"5.041","0.031","0.338","0.550","1.070","0.816","8.162","0.534","7.226","4.148","3.089","0.013",59.867
"4.252","0.027","0.323","0.545","1.018","0.792","8.339","0.554","7.282","4.024","3.070","0.018",60.217
"4.704","0.029","0.318","0.520","0.978","0.791","8.052","0.557","8.336","4.029","3.002","0.025",60.567
"5.212","0.031","0.319","0.508","0.998","0.797","8.109","0.468","7.940","3.943","2.922","0.027",60.917
"5.955","0.037","0.330","0.530","1.033","0.820","8.188","0.412","7.010","3.982","2.735","0.028",61.267
"6.371","0.036","0.333","0.548","1.064","0.829","8.576","0.414","6.069","4.054","2.797","0.032",61.617
"5.704","0.034","0.328","0.525","1.042","0.827","8.847","0.514","7.439","4.028","2.830","0.040",61.967
