"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"4.118","0.078","0.575","3.743","0.948","0.800","2.871","2.676","40.597","3.996","2.002","0.292",36.765
"4.485","0.088","0.628","4.071","0.964","0.798","2.687","2.440","32.141","4.169","1.584","0.199",37.115
"4.789","0.092","0.789","4.714","0.945","0.755","2.768","2.366","24.864","4.085","1.719","0.159",37.465
"4.387","0.106","0.833","6.380","0.946","0.776","2.866","2.505","26.577","4.242","1.653","0.164",37.815
"4.595","0.117","1.106","7.619","0.969","0.780","2.914","2.882","29.922","4.168","1.534","0.181",38.165
"5.700","0.125","1.191","8.243","0.952","0.791","2.797","2.938","31.842","4.771","1.298","0.202",38.515
"6.200","0.128","1.380","8.321","0.939","0.812","2.627","2.941","30.495","4.699","1.233","0.169",38.865
"5.821","0.129","1.368","8.507","0.905","0.854","2.442","2.682","29.421","4.579","1.209","0.170",39.215
"5.221","0.139","1.505","9.532","0.897","0.894","2.644","2.544","30.625","3.881","1.298","0.161",39.565
"4.927","0.142","1.652","9.871","0.880","0.929","2.596","2.288","34.199","3.861","1.352","0.191",39.914
"4.692","0.147","1.741","10.461","0.861","0.931","2.262","2.182","37.024","3.864","1.208","0.178",40.265
"5.051","0.143","1.807","10.879","0.892","0.977","2.275","2.074","36.359","4.071","1.107","0.151",40.615
"5.203","0.143","1.792","11.122","0.911","0.971","2.229","1.921","33.060","4.069","1.039","0.164",40.965
"5.151","0.143","1.773","10.939","0.944","0.979","2.480","1.953","31.151","4.294","1.028","0.168",41.315
"5.203","0.139","1.653","10.662","0.921","0.938","2.510","1.975","31.934","4.219","1.035","0.179",41.665
"4.738","0.137","1.616","10.380","0.919","0.903","2.457","2.283","36.483","4.253","0.986","0.192",42.015
"5.217","0.135","1.565","10.569","0.881","0.853","2.365","2.349","37.021","3.906","1.099","0.193",42.365
"5.351","0.143","1.582","10.072","0.884","0.801","2.122","2.319","34.199","3.799","1.074","0.193",42.715
"6.079","0.152","1.561","10.184","0.858","0.794","2.185","2.532","31.073","3.749","1.176","0.173",43.065
"5.926","0.154","1.512","9.562","0.821","0.771","2.226","2.730","29.608","3.810","1.163","0.166",43.415
"4.537","0.146","1.384","8.992","0.804","0.756","2.121","2.840","29.145","3.755","1.187","0.142",43.765
"4.001","0.137","1.291","8.521","0.813","0.719","1.871","2.744","26.943","3.786","1.087","0.135",44.116
"3.883","0.132","1.166","7.928","0.845","0.706","1.739","2.787","22.136","3.874","1.046","0.135",44.466
"4.807","0.132","1.072","7.352","0.890","0.742","1.769","2.835","21.525","4.110","1.126","0.162",44.816
"4.259","0.124","0.881","6.311","0.934","0.772","1.869","2.791","23.890","4.129","1.253","0.193",45.166
"4.966","0.135","0.862","5.843","0.908","0.783","2.022","2.598","28.014","4.974","1.229","0.242",45.516
"4.770","0.136","0.903","6.120","0.861","0.775","1.946","2.595","29.820","4.796","1.259","0.259",45.866
"6.254","0.140","0.925","6.115","0.854","0.803","1.973","2.415","26.628","4.819","1.137","0.219",46.216
"5.336","0.123","0.821","5.540","0.910","0.793","1.671","2.169","22.358","3.881","1.123","0.170",46.566
"5.441","0.112","0.848","4.580","0.921","0.779","1.810","2.174","20.025","4.018","1.037","0.166",46.916
"5.414","0.101","0.739","3.880","0.913","0.730","1.889","2.175","22.609","3.942","1.073","0.216",47.266
"4.872","0.094","0.698","3.768","0.906","0.741","2.211","2.444","28.177","4.037","1.114","0.268",47.616
"5.165","0.095","0.536","3.743","0.929","0.727","1.982","2.438","31.540","3.873","1.033","0.256",47.966
"4.551","0.092","0.554","3.746","0.946","0.743","1.718","2.426","28.857","3.898","0.934","0.238",48.316
"6.451","0.094","0.572","3.802","0.916","0.770","1.700","2.401","26.462","3.999","0.873","0.228",48.666
"6.272","0.091","0.582","4.186","0.883","0.779","1.915","2.383","25.726","4.043","0.845","0.238",49.016
"5.369","0.101","0.627","4.456","0.830","0.787","2.040","2.373","25.758","4.150","0.872","0.259",49.366
"3.575","0.109","0.669","4.553","0.841","0.784","2.335","2.435","25.241","4.080","0.813","0.219",49.716
"3.488","0.110","0.690","4.431","0.864","0.786","2.098","2.250","19.148","4.000","0.769","0.171",50.066
"3.573","0.101","0.726","4.530","0.859","0.780","2.212","2.356","18.194","3.986","0.773","0.138",50.416
"3.919","0.102","0.847","5.361","0.894","0.822","2.158","2.725","17.973","4.331","0.820","0.131",50.766
"3.322","0.116","0.869","6.011","0.817","0.795","2.327","2.630","17.473","4.373","0.834","0.132",51.116
"4.927","0.116","0.911","6.453","0.807","0.855","2.543","2.547","15.426","4.278","0.899","0.103",51.466
"5.210","0.110","0.829","6.386","0.780","0.832","2.451","1.933","9.945","3.915","0.849","0.073",51.816
"5.940","0.090","0.812","5.788","0.834","0.879","2.533","1.929","7.197","3.894","0.902","0.057",52.166
"5.159","0.087","0.707","5.041","0.842","0.862","2.252","1.690","5.932","4.210","0.899","0.043",52.516
"5.115","0.080","0.633","4.020","0.841","0.856","2.183","1.733","7.530","4.536","0.850","0.050",52.867
"5.566","0.084","0.590","3.724","0.838","0.879","2.434","1.692","9.699","4.542","0.784","0.055",53.217
"4.657","0.082","0.583","3.706","0.838","0.882","2.898","1.800","10.510","4.151","0.728","0.080",53.567
"4.835","0.090","0.605","3.622","0.849","0.908","3.364","1.853","9.854","4.141","0.803","0.083",53.917
"4.858","0.080","0.597","3.378","0.839","0.895","3.312","1.826","8.389","4.156","0.823","0.098",54.267
"4.997","0.079","0.593","3.153","0.840","0.871","3.278","1.739","7.625","4.264","0.826","0.104",54.617
"4.590","0.073","0.595","3.108","0.828","0.872","2.942","1.642","7.896","4.062","0.856","0.099",54.967
"5.217","0.072","0.620","3.293","0.841","0.897","3.268","1.625","7.749","4.235","0.907","0.073",55.317
"5.745","0.073","0.612","3.292","0.895","0.925","3.461","1.484","8.055","4.263","0.908","0.061",55.667
"6.585","0.074","0.602","3.378","0.930","0.975","4.024","1.690","10.088","4.262","0.881","0.069",56.017
"5.101","0.074","0.555","3.174","0.903","1.014","3.866","1.579","11.495","5.197","0.835","0.088",56.367
"4.992","0.075","0.550","3.148","0.861","1.101","3.701","1.638","12.628","5.238","0.817","0.103",56.717
"4.881","0.084","0.554","3.628","0.860","1.076","3.446","1.483","12.030","5.260","0.795","0.103",57.066
"5.654","0.090","0.576","4.068","0.910","1.067","3.337","1.655","10.733","4.350","0.833","0.090",57.417
"5.390","0.099","0.602","3.867","0.916","0.930","3.476","1.570","8.274","4.137","0.826","0.074",57.767
"4.833","0.092","0.543","2.965","0.847","0.853","3.207","1.653","7.171","3.820","0.766","0.077",58.117
"4.939","0.093","0.526","2.976","0.836","0.834","3.335","1.424","7.777","3.844","0.772","0.098",58.467
"4.894","0.086","0.477","3.106","0.859","0.924","3.647","1.752","9.793","4.107","0.872","0.128",58.817
"5.874","0.093","0.514","3.262","0.904","1.021","4.088","1.558","11.497","4.344","0.982","0.131",59.167
"5.591","0.089","0.486","2.515","0.857","1.043","3.893","1.708","10.727","4.187","0.969","0.117",59.517
"5.867","0.091","0.493","2.277","0.855","0.984","3.918","1.503","9.537","4.064","0.902","0.101",59.867
"6.407","0.082","0.486","2.316","0.852","0.961","3.779","1.481","8.052","4.178","0.924","0.111",60.217
"6.148","0.084","0.497","2.406","0.881","0.955","3.943","1.334","8.733","4.244","0.906","0.125",60.567
"6.378","0.078","0.539","2.417","0.843","0.946","3.670","1.156","9.340","4.293","0.808","0.111",60.917
"5.429","0.079","0.513","2.150","0.864","0.958","3.988","1.031","8.835","4.429","0.794","0.106",61.268
"6.582","0.073","0.484","1.863","0.849","0.930","4.265","0.948","8.603","4.417","0.801","0.094",61.618
"6.544","0.078","0.418","1.711","0.864","0.971","4.530","0.910","9.735","4.434","0.960","0.108",61.968
"6.528","0.076","0.451","1.609","0.845","0.951","4.579","1.003","11.962","4.187","1.028","0.130",62.318
"5.645","0.076","0.461","1.604","0.831","0.977","4.697","1.026","13.505","4.471","1.183","0.176",62.668
"5.262","0.070","0.438","1.473","0.831","0.925","4.651","0.963","12.429","4.370","1.122","0.154",63.018
"5.218","0.069","0.372","1.404","0.808","0.925","4.696","0.840","10.418","4.382","1.348","0.127",63.368
"5.009","0.069","0.371","1.298","0.848","0.915","4.553","0.854","8.725","4.070","1.156","0.093",63.718
"5.286","0.067","0.374","1.289","0.840","0.954","4.530","0.921","9.791","4.156","1.135","0.104",64.068
"5.261","0.059","0.357","1.255","0.781","0.867","4.277","0.926","11.805","3.805","0.861","0.133",64.418
"5.342","0.060","0.370","1.286","0.809","0.862","4.364","0.873","13.524","3.775","0.869","0.127",64.768
"5.915","0.059","0.380","1.206","0.794","0.832","4.251","0.797","11.624","3.596","0.845","0.136",65.118
"6.387","0.061","0.407","1.085","0.889","0.903","4.531","0.822","10.103","3.888","0.761","0.109",65.468
"7.006","0.059","0.395","1.003","0.866","0.873","4.286","0.837","8.615","3.878","0.723","0.096",65.818
"6.552","0.062","0.391","1.086","0.864","0.916","4.477","1.037","9.673","4.131","0.938","0.089",66.168
"5.808","0.072","0.390","1.125","0.799","0.926","3.870","1.023","9.942","4.311","0.944","0.075",66.518
