"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"4.748","0.066","0.289","1.121","1.005","0.623","2.724","1.670","6.223","3.583","2.833","0.090",36.064
"4.702","0.077","0.297","1.249","1.008","0.638","2.919","1.576","5.902","3.744","2.681","0.119",36.414
"4.792","0.066","0.266","1.184","0.955","0.566","2.950","1.384","5.564","3.439","2.611","0.115",36.764
"4.750","0.066","0.257","1.232","0.959","0.560","2.899","1.228","6.424","3.689","2.987","0.136",37.114
"5.279","0.067","0.258","1.254","0.942","0.548","3.066","1.316","8.562","3.661","3.306","0.139",37.464
"7.150","0.082","0.289","1.421","1.017","0.587","3.339","1.425","10.095","3.879","3.617","0.135",37.814
"6.869","0.088","0.299","1.389","1.042","0.596","3.418","1.580","10.387","3.661","3.624","0.129",38.164
"5.665","0.084","0.294","1.329","1.036","0.585","3.268","1.582","9.488","3.642","3.377","0.118",38.514
"3.789","0.085","0.291","1.235","1.063","0.578","3.162","1.645","10.041","3.720","3.242","0.135",38.864
"4.602","0.088","0.287","1.290","1.051","0.580","3.198","1.590","12.493","3.785","3.010","0.158",39.214
"5.882","0.087","0.292","1.290","1.050","0.585","3.189","1.740","14.152","3.653","3.030","0.163",39.564
"5.655","0.079","0.293","1.255","1.026","0.596","3.063","1.597","14.475","3.618","3.319","0.143",39.914
"4.716","0.070","0.287","1.141","1.018","0.588","3.081","1.494","12.005","3.416","3.196","0.094",40.265
"3.954","0.069","0.289","1.058","1.082","0.598","3.013","1.353","9.877","3.507","3.068","0.070",40.615
"4.221","0.068","0.288","0.998","1.074","0.586","2.985","1.421","7.811","3.545","2.404","0.075",40.965
"4.652","0.068","0.296","0.962","1.102","0.601","2.843","1.527","7.837","3.631","2.404","0.077",41.315
"4.318","0.068","0.291","0.895","1.055","0.602","2.710","1.516","8.619","3.567","2.308","0.077",41.665
"5.308","0.065","0.288","0.869","1.075","0.622","2.755","1.435","9.865","3.568","2.356","0.078",42.015
"5.369","0.063","0.288","0.892","1.027","0.630","2.822","1.159","10.313","3.543","2.163","0.080",42.365
"5.474","0.058","0.292","0.929","1.048","0.644","2.887","1.182","9.319","3.565","2.319","0.069",42.715
"5.232","0.061","0.286","0.924","1.041","0.653","2.660","1.250","8.703","3.484","2.500","0.060",43.065
"4.672","0.055","0.276","0.858","1.045","0.653","2.426","1.270","8.287","3.509","2.528","0.054",43.415
"5.146","0.052","0.277","0.795","1.046","0.642","2.444","1.131","7.920","3.539","2.362","0.046",43.765
"4.822","0.047","0.287","0.739","1.056","0.640","2.534","1.064","7.475","3.576","2.104","0.031",44.115
"5.230","0.050","0.288","0.731","1.126","0.648","2.664","1.055","6.205","3.607","2.161","0.023",44.465
"4.514","0.050","0.289","0.727","1.111","0.675","2.724","1.012","6.763","3.610","2.127","0.027",44.815
"4.714","0.051","0.285","0.725","1.103","0.691","2.621","1.020","7.246","3.637","2.193","0.036",45.165
"4.463","0.050","0.286","0.704","1.085","0.692","2.823","1.058","8.007","3.616","2.044","0.051",45.515
"4.372","0.052","0.305","0.695","1.069","0.697","2.714","1.106","7.288","3.673","2.055","0.058",45.865
"4.312","0.053","0.312","0.693","1.075","0.715","2.898","1.019","6.258","3.715","1.922","0.059",46.215
