"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"4.489","0.070","0.320","0.771","1.083","0.697","6.059","1.225","27.302","3.767","7.198","0.509",38.165
"4.627","0.065","0.313","0.792","1.088","0.682","6.133","1.077","30.072","3.789","7.671","0.532",38.515
"4.444","0.062","0.308","0.847","1.102","0.659","6.210","1.121","31.026","3.778","7.934","0.525",38.865
"4.941","0.059","0.311","0.855","1.051","0.659","6.064","1.119","30.558","3.756","7.710","0.519",39.215
"4.670","0.057","0.317","0.859","1.073","0.689","6.521","1.282","29.645","3.747","7.460","0.449",39.565
"4.113","0.063","0.320","0.818","1.082","0.683","6.619","1.386","28.124","3.719","7.515","0.460",39.914
"5.301","0.062","0.322","0.847","1.107","0.689","6.662","1.293","30.096","3.748","7.604","0.463",40.265
"5.484","0.060","0.316","0.856","1.070","0.648","5.908","1.447","32.121","3.717","8.246","0.536",40.615
"6.393","0.057","0.317","0.874","1.057","0.659","5.916","1.589","38.252","3.801","8.553","0.634",40.965
"5.401","0.058","0.315","0.830","1.067","0.652","5.951","1.805","42.534","3.847","9.483","0.656",41.315
"5.532","0.063","0.313","0.811","1.077","0.659","6.353","1.847","45.377","3.877","10.217","0.660",41.665
"4.888","0.063","0.320","0.826","1.057","0.654","6.503","1.917","48.254","3.878","11.136","0.653",42.015
"4.596","0.064","0.323","0.825","1.044","0.668","6.373","1.993","49.945","3.840","11.478","0.645",42.365
"3.811","0.063","0.326","0.818","1.019","0.666","6.390","1.896","51.579","3.875","11.804","0.636",42.715
"4.573","0.062","0.314","0.818","1.010","0.673","6.616","1.897","51.196","3.844","11.987","0.551",43.065
"5.020","0.062","0.317","0.857","0.981","0.662","6.902","1.836","47.355","3.825","11.904","0.482",43.415
"5.970","0.063","0.318","0.858","1.006","0.668","6.808","1.888","47.957","3.835","12.137","0.514",43.765
"6.115","0.062","0.325","0.875","1.015","0.670","6.611","1.955","48.882","3.803","12.489","0.578",44.115
"6.827","0.060","0.314","0.834","1.036","0.670","6.756","2.104","54.309","3.879","13.556","0.721",44.465
"6.565","0.059","0.314","0.861","1.015","0.662","6.890","2.311","57.427","3.856","13.813","0.789",44.815
"5.944","0.062","0.312","0.872","1.002","0.669","6.938","2.386","62.436","3.955","14.180","0.760",45.166
"4.571","0.067","0.323","0.921","1.012","0.668","6.747","2.454","60.584","3.966","14.156","0.652",45.516
"4.976","0.066","0.320","0.925","1.024","0.670","6.715","2.163","57.843","3.898","14.473","0.501",45.866
"5.002","0.066","0.325","0.893","1.035","0.655","6.602","2.096","51.559","3.764","14.281","0.404",46.216
"4.567","0.062","0.310","0.884","1.033","0.647","6.928","2.006","49.961","3.622","14.335","0.443",46.566
"4.240","0.062","0.317","0.872","1.015","0.655","7.519","2.600","55.361","3.761","15.680","0.587",46.916
"4.630","0.060","0.311","0.898","0.986","0.650","7.854","2.531","61.441","3.810","16.790","0.676",47.266
"6.339","0.057","0.310","0.861","0.965","0.636","7.830","2.557","70.169","3.803","17.986","0.733",47.616
"6.074","0.057","0.306","0.859","1.010","0.643","7.442","2.359","73.353","3.721","18.289","0.710",47.966
"5.794","0.056","0.309","0.837","1.046","0.647","7.326","2.695","75.232","3.720","18.778","0.744",48.316
"5.514","0.059","0.317","0.855","1.064","0.662","7.402","2.990","77.925","3.830","19.202","0.738",48.666
"5.880","0.055","0.316","0.834","1.024","0.640","7.279","2.841","79.916","3.719","18.988","0.671",49.016
"4.814","0.056","0.319","0.825","1.003","0.655","7.747","2.678","83.842","3.746","19.094","0.600",49.366
"4.529","0.056","0.327","0.845","1.009","0.677","8.248","2.428","83.459","3.736","19.357","0.538",49.716
"4.351","0.059","0.325","0.831","1.024","0.688","8.397","2.478","82.046","3.814","19.453","0.500",50.066
"5.327","0.062","0.321","0.806","1.060","0.686","8.391","2.364","81.531","3.772","18.626","0.644",50.416
"5.082","0.062","0.313","0.752","1.064","0.683","8.510","2.685","83.937","3.762","17.214","0.748",50.766
"4.772","0.063","0.326","0.751","1.096","0.707","9.261","2.743","84.891","3.798","15.595","0.823",51.116
