"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"6.200","0.064","0.289","1.377","0.897","0.649","4.206","0.597","15.265","3.853","3.463","0.101",40.615
"6.013","0.067","0.286","1.364","0.945","0.655","3.929","0.569","16.165","3.872","3.312","0.095",40.965
"4.525","0.065","0.286","1.439","0.995","0.670","3.365","0.457","16.527","3.912","2.820","0.080",41.315
"4.373","0.066","0.295","1.444","1.039","0.696","3.255","0.529","17.514","3.853","2.682","0.078",41.665
"4.622","0.064","0.301","1.461","1.057","0.701","3.057","0.562","17.450","3.908","2.624","0.060",42.015
"5.209","0.064","0.306","1.333","1.047","0.688","2.839","0.699","18.129","3.876","2.607","0.057",42.365
"5.660","0.065","0.312","1.369","1.042","0.694","2.587","0.747","18.285","3.861","2.542","0.067",42.715
"5.102","0.068","0.299","1.272","0.984","0.676","2.453","0.839","17.499","3.725","2.475","0.061",43.065
"4.374","0.069","0.290","1.275","0.961","0.666","2.803","0.820","17.976","3.666","2.533","0.051",43.415
"5.140","0.067","0.283","1.192","0.967","0.666","2.804","0.766","17.869","3.650","2.519","0.030",43.766
"5.010","0.064","0.294","1.205","1.012","0.694","2.838","0.625","18.034","3.722","2.667","0.038",44.116
"5.077","0.058","0.295","1.171","1.046","0.714","2.705","0.539","17.928","3.667","2.574","0.035",44.466
"3.621","0.058","0.302","1.221","1.044","0.718","2.573","0.536","16.354","3.559","2.542","0.031",44.816
"4.362","0.060","0.303","1.207","1.049","0.722","2.472","0.523","14.694","3.522","2.387","0.023",45.166
"4.842","0.065","0.303","1.177","1.036","0.721","2.332","0.499","10.997","3.500","2.250","0.015",45.516
"5.434","0.063","0.295","1.054","1.060","0.726","2.498","0.480","9.507","3.605","2.234","0.017",45.866
"5.127","0.058","0.289","1.029","1.000","0.728","2.465","0.522","9.450","3.505","2.291","0.015",46.216
"5.252","0.057","0.291","1.022","1.027","0.744","2.615","0.516","9.495","3.447","2.226","0.020",46.566
"5.011","0.055","0.285","1.025","1.013","0.748","2.589","0.499","9.233","3.383","2.135","0.024",46.916
"4.706","0.054","0.290","0.954","1.053","0.750","2.797","0.468","7.788","3.312","1.946","0.025",47.266
"4.037","0.049","0.291","0.948","1.037","0.744","2.582","0.480","6.995","3.338","1.851","0.018",47.616
"3.972","0.050","0.301","0.903","1.052","0.757","2.400","0.555","7.034","3.314","1.875","0.013",47.966
"4.513","0.048","0.292","0.910","1.009","0.763","2.230","0.544","7.708","3.375","1.915","0.019",48.316
"4.574","0.051","0.289","0.910","0.968","0.767","2.407","0.595","8.740","3.325","2.118","0.025",48.666
"4.532","0.051","0.287","0.951","0.941","0.747","2.412","0.540","8.437","3.280","2.134","0.034",49.016
"4.121","0.056","0.300","0.979","0.996","0.751","2.583","0.618","8.177","3.360","2.196","0.032",49.366
"4.613","0.053","0.299","0.972","1.013","0.754","2.638","0.566","8.321","3.348","2.041","0.041",49.716
"4.975","0.054","0.294","0.966","1.037","0.771","2.670","0.619","8.495","3.429","1.944","0.033",50.066
"5.321","0.050","0.284","0.908","0.996","0.771","2.562","0.599","8.982","3.342","2.093","0.038",50.416
"5.978","0.053","0.299","0.880","0.981","0.781","2.581","0.593","10.326","3.397","2.276","0.024",50.766
"5.735","0.049","0.308","0.849","0.958","0.780","2.815","0.467","10.554","3.357","2.318","0.033",51.116
"5.588","0.050","0.304","0.890","0.961","0.783","3.058","0.403","11.598","3.479","2.293","0.026",51.466
"4.926","0.050","0.299","0.898","0.979","0.789","3.037","0.473","11.464","3.423","2.159","0.023",51.816
"4.804","0.049","0.284","0.915","0.949","0.776","3.255","0.524","11.948","3.377","2.205","0.019",52.166
"4.306","0.047","0.287","0.920","0.938","0.783","3.012","0.605","10.551","3.270","2.163","0.012",52.517
"4.474","0.047","0.281","0.882","0.933","0.781","2.927","0.559","7.946","3.282","2.192","0.021",52.867
"4.810","0.046","0.289","0.897","0.968","0.811","2.623","0.556","8.454","3.344","2.275","0.025",53.217
"5.322","0.044","0.287","0.887","0.979","0.812","2.869","0.536","10.936","3.282","2.325","0.039",53.567
"4.824","0.044","0.293","0.916","0.963","0.836","3.168","0.606","15.620","3.390","2.636","0.049",53.917
"4.699","0.046","0.289","0.869","0.971","0.820","3.522","0.591","17.000","3.373","2.836","0.040",54.267
"4.217","0.049","0.285","0.887","0.961","0.817","3.698","0.592","16.493","3.299","2.810","0.034",54.617
"4.218","0.048","0.294","0.869","0.986","0.809","3.698","0.514","15.070","3.200","2.815","0.028",54.967
"4.526","0.048","0.299","0.899","0.958","0.830","3.604","0.482","16.117","3.281","2.873","0.038",55.317
"4.531","0.049","0.306","0.833","0.970","0.830","3.597","0.424","17.523","3.438","2.995","0.041",55.667
"4.152","0.047","0.290","0.888","0.917","0.799","3.945","0.388","18.974","3.399","3.093","0.041",56.017
"3.662","0.047","0.293","0.954","0.927","0.776","4.109","0.443","19.706","3.401","3.238","0.035",56.367
"4.155","0.047","0.296","1.010","0.950","0.793","4.101","0.530","19.353","3.413","3.453","0.036",56.717
"4.571","0.047","0.303","0.994","0.996","0.796","4.074","0.596","18.622","3.436","3.623","0.032",57.066
"4.581","0.049","0.300","0.969","0.991","0.813","4.286","0.614","18.956","3.444","3.952","0.026",57.417
"3.763","0.050","0.300","0.960","1.019","0.831","4.626","0.556","20.674","3.548","4.311","0.026",57.767
"3.737","0.055","0.303","0.927","1.041","0.866","4.570","0.578","21.308","3.582","4.269","0.025",58.117
"3.651","0.052","0.298","0.848","1.056","0.877","4.679","0.564","18.077","3.537","3.853","0.023",58.467
"3.880","0.048","0.292","0.843","1.002","0.837","4.594","0.566","16.157","3.499","3.580","0.026",58.817
"4.610","0.045","0.292","0.852","0.976","0.832","5.145","0.508","16.864","3.550","3.657","0.029",59.167
"4.267","0.047","0.293","0.845","0.954","0.813","4.939","0.507","17.844","3.546","3.647","0.031",59.517
"4.083","0.046","0.295","0.807","0.970","0.826","5.163","0.519","19.515","3.492","3.623","0.024",59.867
