"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"6.250","0.045","0.330","0.683","0.865","0.635","15.168","0.454","9.077","2.655","1.902","0.163",36.065
"5.169","0.042","0.276","0.761","0.840","0.510","8.341","0.421","9.037","4.362","1.889","0.167",36.415
"5.580","0.047","0.380","0.916","1.004","0.557","8.396","0.430","11.991","4.857","2.398","0.181",36.765
"8.893","0.061","0.462","1.057","1.235","0.661","8.598","0.594","15.425","5.701","3.403","0.202",37.115
"9.281","0.065","0.457","1.078","1.151","0.665","8.075","0.606","15.650","3.808","3.710","0.153",37.465
"9.846","0.063","0.373","1.035","1.091","0.709","7.421","0.577","15.328","3.809","4.060","0.170",37.815
"9.792","0.053","0.361","1.001","1.055","0.739","7.552","0.579","15.711","3.975","4.457","0.214",38.165
"12.279","0.045","0.349","0.966","0.949","0.796","7.933","0.905","15.036","4.317","4.829","0.218",38.515
"13.016","0.048","0.333","0.908","0.950","0.796","7.670","0.890","12.953","4.266","4.686","0.183",38.865
"12.430","0.057","0.329","0.945","0.917","0.831","8.026","0.847","11.418","4.302","4.348","0.163",39.215
"10.745","0.062","0.330","0.915","1.023","0.833","8.183","0.811","11.654","4.286","3.999","0.158",39.565
"9.593","0.062","0.319","0.928","0.960","0.820","7.916","0.937","13.235","4.251","3.711","0.207",39.914
"9.945","0.056","0.314","0.864","0.946","0.795","7.746","0.965","15.835","4.178","3.744","0.272",40.265
"11.047","0.053","0.318","0.836","0.920","0.760","7.500","0.949","18.221","3.995","3.401","0.350",40.615
"11.177","0.052","0.329","0.820","0.967","0.754","7.790","0.779","20.217","4.004","3.297","0.395",40.965
"11.020","0.051","0.327","0.826","0.993","0.728","7.464","0.700","20.580","3.994","3.195","0.382",41.315
"10.435","0.049","0.321","0.828","1.015","0.738","6.861","0.597","18.792","4.054","3.307","0.307",41.665
"9.438","0.051","0.326","0.834","1.017","0.734","6.618","0.552","17.405","4.206","3.345","0.228",42.015
"8.170","0.059","0.329","0.814","0.973","0.754","6.621","0.624","16.033","4.190","3.157","0.192",42.365
"7.632","0.059","0.338","0.782","0.985","0.734","6.990","0.651","15.676","4.180","3.023","0.211",42.715
"7.854","0.059","0.332","0.756","0.989","0.736","7.083","0.756","14.932","4.097","2.958","0.254",43.065
"8.691","0.055","0.326","0.734","1.012","0.731","7.656","0.877","14.826","4.177","2.952","0.254",43.416
"8.437","0.057","0.327","0.795","1.019","0.726","7.825","0.942","14.329","4.257","3.001","0.241",43.766
"9.380","0.057","0.327","0.798","0.986","0.704","7.996","0.932","13.702","4.268","3.056","0.226",44.116
"9.989","0.057","0.331","0.811","0.998","0.688","7.574","0.848","15.133","4.198","3.108","0.251",44.466
"10.732","0.058","0.326","0.767","0.970","0.694","7.330","0.751","16.668","4.157","3.351","0.280",44.816
"11.411","0.056","0.331","0.763","1.002","0.703","7.380","0.814","19.163","4.096","3.458","0.303",45.166
"10.244","0.054","0.322","0.737","0.979","0.685","7.080","0.655","19.186","4.052","3.494","0.273",45.516
"10.258","0.051","0.321","0.763","0.978","0.691","7.178","0.702","17.991","3.967","3.227","0.232",45.866
"9.273","0.051","0.307","0.825","0.989","0.692","7.176","0.590","15.982","4.013","2.927","0.201",46.216
"9.476","0.055","0.317","0.904","1.027","0.708","7.629","0.607","15.103","4.092","2.876","0.242",46.566
"8.459","0.054","0.322","0.880","1.058","0.702","7.936","0.523","16.105","4.102","2.858","0.267",46.916
"9.620","0.055","0.326","0.825","1.003","0.685","7.711","0.535","17.834","4.071","3.231","0.331",47.266
"10.649","0.051","0.329","0.794","0.997","0.673","7.211","0.650","18.148","3.962","3.374","0.314",47.616
"11.421","0.050","0.327","0.777","0.957","0.670","6.673","0.712","18.074","4.013","3.596","0.319",47.966
"9.602","0.049","0.321","0.757","0.970","0.693","6.470","0.776","17.664","4.025","3.512","0.285",48.316
"8.185","0.048","0.322","0.734","0.941","0.708","6.489","0.777","17.358","4.013","3.457","0.279",48.666
"7.661","0.051","0.322","0.778","0.934","0.714","7.056","0.795","18.112","3.979","3.499","0.282",49.016
"9.677","0.052","0.333","0.810","0.929","0.702","7.299","0.787","18.107","3.987","3.515","0.250",49.366
"10.699","0.053","0.325","0.821","0.935","0.695","7.791","0.805","16.985","4.006","3.394","0.232",49.716
"10.832","0.053","0.314","0.822","0.923","0.692","7.773","0.806","14.854","3.953","3.188","0.214",50.066
"9.053","0.051","0.317","0.805","0.926","0.678","7.741","0.809","13.679","3.894","3.067","0.224",50.416
"8.668","0.058","0.328","0.800","0.928","0.691","7.789","0.701","14.599","4.048","3.152","0.251",50.766
"8.720","0.058","0.340","0.769","0.928","0.703","7.933","0.642","15.466","4.111","3.423","0.279",51.116
"9.063","0.061","0.337","0.797","0.936","0.739","8.180","0.589","15.087","4.293","3.889","0.292",51.466
"9.073","0.055","0.337","0.794","0.960","0.740","7.964","0.621","13.705","4.235","3.972","0.245",51.817
"8.838","0.052","0.335","0.826","0.997","0.732","7.737","0.570","11.826","4.274","3.711","0.206",52.167
"8.646","0.052","0.336","0.820","1.014","0.721","8.100","0.495","10.727","4.201","3.159","0.177",52.517
"8.962","0.054","0.333","0.843","0.969","0.719","8.368","0.474","11.463","4.177","3.112","0.188",52.867
"10.284","0.056","0.332","0.769","0.942","0.709","8.653","0.554","13.563","4.084","3.145","0.191",53.217
"11.275","0.055","0.323","0.717","0.933","0.699","7.934","0.650","14.864","3.994","3.231","0.204",53.567
"10.452","0.050","0.318","0.677","0.985","0.683","7.735","0.544","14.569","3.898","3.070","0.216",53.917
"10.029","0.050","0.316","0.743","1.007","0.704","7.124","0.476","13.169","3.835","3.009","0.227",54.267
"9.800","0.052","0.322","0.764","0.984","0.714","7.530","0.506","13.161","3.824","3.028","0.245",54.617
"9.972","0.053","0.321","0.795","0.910","0.714","7.861","0.756","15.044","3.857","3.196","0.277",54.967
"9.630","0.061","0.323","0.744","0.924","0.681","8.195","0.799","17.106","3.949","3.415","0.264",55.317
"8.971","0.057","0.327","0.731","0.956","0.663","8.551","0.814","17.981","4.034","3.593","0.235",55.667
"8.917","0.055","0.333","0.695","0.977","0.653","8.096","0.728","16.975","4.022","3.730","0.221",56.017
"8.600","0.052","0.335","0.717","0.980","0.681","8.711","0.750","16.415","4.083","3.781","0.213",56.367
"9.957","0.053","0.326","0.729","0.982","0.674","8.274","0.741","17.021","3.950","3.783","0.215",56.717
"9.999","0.056","0.322","0.728","1.005","0.704","8.504","0.814","19.968","3.991","3.994","0.225",57.066
"10.406","0.052","0.326","0.705","1.001","0.698","8.274","0.791","20.947","3.942","4.062","0.263",57.417
"8.926","0.054","0.335","0.706","0.935","0.707","8.373","0.794","20.619","4.025","4.076","0.247",57.767
"9.165","0.056","0.342","0.716","0.933","0.688","8.946","0.649","17.516","4.037","3.795","0.238",58.117
"8.565","0.057","0.344","0.767","0.925","0.704","8.698","0.679","14.962","4.042","3.648","0.185",58.467
"9.994","0.057","0.345","0.765","1.024","0.714","8.638","0.598","14.486","4.066","3.677","0.197",58.817
"10.632","0.059","0.343","0.779","1.014","0.721","8.416","0.672","15.908","4.142","3.827","0.199",59.167
"10.885","0.060","0.336","0.732","0.981","0.704","8.527","0.602","16.926","4.181","3.915","0.256",59.517
"10.119","0.057","0.333","0.676","0.931","0.714","9.230","0.639","16.391","4.106","3.855","0.275",59.867
"10.103","0.053","0.351","0.631","0.948","0.707","9.187","0.691","14.239","3.821","3.520","0.222",60.217
"10.147","0.052","0.349","0.627","0.976","0.699","9.527","0.691","13.402","3.819","3.426","0.200",60.568
"10.485","0.054","0.352","0.634","0.979","0.685","8.855","0.724","14.048","3.848","3.708","0.186",60.918
"10.045","0.052","0.337","0.615","0.978","0.695","9.090","0.692","14.660","3.921","3.868","0.212",61.268
"10.913","0.051","0.345","0.619","0.948","0.697","9.142","0.711","16.170","3.931","3.909","0.206",61.618
"11.337","0.049","0.338","0.624","0.957","0.696","9.216","0.679","15.791","3.892","3.563","0.208",61.968
"10.905","0.049","0.336","0.618","0.933","0.693","9.096","0.848","16.890","3.909","3.577","0.214",62.318
"9.253","0.049","0.325","0.589","0.930","0.675","8.898","0.785","17.044","3.809","3.656","0.221",62.668
"8.536","0.053","0.333","0.582","0.900","0.682","9.134","0.897","19.189","3.912","4.213","0.234",63.018
"9.065","0.055","0.332","0.588","0.908","0.666","9.041","0.676","20.032","3.901","4.253","0.266",63.368
"10.068","0.056","0.336","0.595","0.916","0.690","8.818","0.798","21.289","3.841","4.418","0.268",63.718
"11.477","0.055","0.329","0.589","0.920","0.698","9.212","0.732","21.871","3.862","4.305","0.270",64.068
"12.305","0.057","0.338","0.614","0.937","0.724","9.687","0.760","22.106","4.056","4.653","0.242",64.418
"12.543","0.054","0.339","0.571","0.929","0.718","9.750","0.766","20.798","4.133","4.660","0.242",64.768
"11.711","0.053","0.330","0.570","0.894","0.688","9.665","0.667","18.991","4.000","4.420","0.234",65.118
"12.276","0.049","0.315","0.512","0.894","0.683","9.589","0.776","17.754","3.853","4.216","0.219",65.468
"11.866","0.048","0.312","0.524","0.890","0.688","9.818","0.824","18.462","3.882","4.069","0.208",65.818
"11.077","0.052","0.313","0.524","0.925","0.693","9.239","1.005","19.120","3.858","4.078","0.200",66.168
"10.263","0.054","0.323","0.535","0.921","0.713","9.224","0.920","18.985","3.896","4.018","0.207",66.518
"11.365","0.059","0.334","0.571","0.974","0.731","9.754","1.046","18.036","3.903","4.328","0.223",66.868
"12.133","0.057","0.342","0.540","0.983","0.744","10.251","0.949","17.561","3.977","4.344","0.229",67.218
"13.092","0.058","0.350","0.553","0.981","0.748","10.169","1.044","18.503","3.963","4.515","0.245",67.568
"11.816","0.055","0.332","0.516","0.941","0.736","10.015","0.936","17.967","3.889","4.024","0.229",67.918
"14.076","0.053","0.342","0.558","0.958","0.749","10.369","0.933","16.944","3.861","3.975","0.211",68.268
"14.554","0.051","0.340","0.547","0.968","0.735","10.666","0.756","15.791","3.827","3.526","0.189",68.618
"16.164","0.050","0.354","0.551","0.978","0.734","10.660","0.655","15.125","3.781","3.383","0.185",68.969
"13.671","0.051","0.344","0.522","0.938","0.713","10.017","0.630","15.223","3.790","3.340","0.193",69.319
"13.147","0.050","0.338","0.529","0.920","0.723","9.387","0.667","15.538","3.746","3.492","0.209",69.669
"12.562","0.055","0.340","0.554","0.917","0.722","9.083","0.692","16.841","3.884","3.439","0.213",70.019
"13.809","0.054","0.350","0.589","0.929","0.737","8.699","0.740","16.432","3.811","3.232","0.198",70.369
"12.983","0.057","0.351","0.598","0.923","0.729","8.541","0.629","14.627","3.928","3.062","0.169",70.719
"14.221","0.058","0.352","0.587","0.954","0.753","8.305","0.545","12.427","3.866","2.921","0.151",71.069
