"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"6.879","0.090","0.368","4.414","0.817","1.217","7.359","1.820","8.317","3.958","1.522","0.130",38.515
"6.744","0.097","0.379","4.497","0.852","1.255","7.335","1.671","8.398","3.872","1.465","0.093",38.865
"7.065","0.103","0.355","4.928","0.895","1.332","7.288","1.736","7.518","3.659","1.492","0.071",39.215
"7.301","0.096","0.341","4.562","0.862","1.262","6.429","1.647","7.756","3.587","1.868","0.085",39.565
"7.294","0.095","0.342","4.681","0.820","1.265","6.148","1.674","9.330","3.617","2.221","0.109",39.914
"7.521","0.091","0.354","4.773","0.779","1.245","5.543","1.536","10.363","3.607","3.202","0.140",40.265
"7.828","0.096","0.380","4.929","0.780","1.321","5.570","1.725","11.053","3.656","3.642","0.155",40.615
"8.475","0.089","0.375","4.848","0.772","1.303","5.112","1.895","10.755","3.698","4.210","0.188",40.965
"7.680","0.089","0.362","4.700","0.763","1.260","5.101","1.840","11.953","3.685","6.456","0.198",41.315
"8.404","0.086","0.357","4.726","0.783","1.200","4.761","1.811","12.992","3.654","6.553","0.189",41.665
"10.440","0.094","0.374","4.793","0.829","1.149","4.629","1.677","14.900","3.763","6.436","0.219",42.015
"10.382","0.097","0.384","4.563","0.855","1.090","4.353","1.676","16.219","3.727","3.229","0.238",42.365
"9.280","0.097","0.367","4.363","0.868","1.058","4.148","1.940","16.457","3.728","2.365","0.232",42.715
"6.918","0.095","0.352","4.104","0.812","1.002","3.908","1.852","16.734","3.555","1.866","0.231",43.065
"7.940","0.095","0.344","3.932","0.806","0.969","3.517","1.897","17.957","3.502","1.677","0.250",43.415
"7.591","0.095","0.344","3.487","0.793","0.908","3.549","1.637","19.781","3.469","1.838","0.332",43.765
"7.668","0.089","0.343","3.388","0.820","0.902","3.723","1.906","25.749","3.661","2.281","0.386",44.115
"7.304","0.088","0.336","3.264","0.814","0.923","3.594","2.129","26.040","3.655","2.083","0.368",44.465
"7.448","0.084","0.334","3.552","0.852","0.976","3.516","2.109","24.230","3.825","1.877","0.300",44.815
"6.270","0.083","0.334","3.358","0.862","0.976","3.202","1.952","16.942","3.642","1.253","0.184",45.165
"5.595","0.077","0.320","3.223","0.860","0.936","3.093","1.667","13.136","3.632","1.084","0.113",45.515
"5.717","0.079","0.323","2.961","0.844","0.913","2.984","1.669","12.106","3.616","1.144","0.123",45.865
"5.561","0.078","0.307","2.760","0.812","0.881","2.960","1.631","12.869","3.567","1.191","0.122",46.215
"5.760","0.075","0.318","2.601","0.789","0.873","3.324","1.803","12.826","3.721","1.229","0.132",46.565
"4.924","0.075","0.318","2.398","0.801","0.847","3.337","1.727","11.200","3.626","1.121","0.098",46.915
"5.420","0.073","0.326","2.482","0.822","0.851","3.294","1.674","9.277","3.521","1.043","0.097",47.266
"5.156","0.075","0.330","2.558","0.859","0.881","3.234","1.730","8.692","3.649","1.092","0.085",47.616
"5.771","0.077","0.328","2.767","0.803","0.904","3.135","1.752","8.276","3.693","1.002","0.088",47.966
"5.697","0.077","0.332","2.753","0.783","0.936","3.074","1.886","6.381","3.910","1.036","0.067",48.316
"5.786","0.074","0.334","2.775","0.769","0.906","3.028","1.841","5.108","3.606","0.874","0.070",48.666
"5.678","0.075","0.320","2.587","0.737","0.889","3.132","1.856","6.492","4.679","0.950","0.085",49.016
"6.098","0.078","0.319","2.686","0.747","0.900","2.964","1.689","9.353","4.455","0.882","0.096",49.366
