C:\Agilent\ICPMH\1\DATA\12sep12 tune_2.b\PGB07_T.d,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,
Acquired      : 9/12/2012 5:49:24 PM using Batch 12sep12 tune_2.b,,,,,,,,,,,,,
Time [Sec],Li7,B11,Mg24,P31,S34,K39,Ca43,Mn55,Cu63,Zn66,Sr88,Ba138,Pb208
0.36,9,23,0,76.02,19882.65,1953.24,0,156.02,5,9,0,1,0
0.71,4,12,2,40,19873.68,1980.56,3,170.02,1,7,0,0,0
1.06,2,11,0,51.01,19489.53,1941.1,0,180.02,3,13,0,0,2
1.41,4,15,2,59.01,19752.63,1872.33,0,198.03,4,12,0,0,0
1.76,1,12,1,62.01,20447.52,2091.89,1,175.02,1,7,2,0,0
2.11,3,21,4,62.01,20367.68,2097.96,2,211.03,1,14,0,0,1
2.46,10,17,1,59.01,19809.79,1962.35,0,184.03,1,6,0,0,2
2.81,11,11,1,65.01,20072.24,1985.62,0,192.03,1,8,0,0,0
3.16,0,15,1,51.01,20142.96,2119.23,0,184.03,1,8,0,0,3
3.51,2,12,0,47.01,19915.17,1987.64,0,175.02,0,2,0,0,0
3.86,1,28,2,51.01,20104.79,2022.04,2,191.03,3,6,1,0,1
4.21,5,23,0,44.01,20093.57,1932,0,151.02,1,11,0,0,0
4.56,5,26,2,51.01,20247.42,2131.38,2,181.02,1,8,0,0,0
4.91,3,11,0,43.01,19666.38,1983.59,3,200.03,0,6,0,0,0
5.26,2,16,2,45.01,19633.91,1921.88,0,191.03,2,8,1,0,0
5.61,8,15,6,53.01,19529.81,1966.39,0,197.03,2,10,2,0,0
5.96,4,20,1,57.01,19776.17,1912.78,0,191.03,3,13,0,0,1
6.31,0,9,0,45.01,20465.52,1899.63,1,182.02,2,11,0,0,2
6.66,2,28,2,46.01,19894.99,2060.51,0,182.02,3,14,0,0,0
7.01,3,10,0,56.01,19278.21,1994.72,2,196.03,0,7,0,0,1
7.36,5,12,1,42.01,19680.94,1926.94,1,176.02,3,19,0,0,1
7.711,3,16,2,53.01,19961.15,2000.79,1,187.03,1,10,0,0,3
8.061,2,16,2,42.01,19827.72,1960.32,0,160.02,1,10,0,0,2
8.411,1,10,0,47.01,19980.22,1957.29,3,204.03,0,14,0,0,0
8.761,0,13,0,49.01,19975.74,2036.21,0,204.03,0,10,1,0,1
9.111,2,16,2,54.01,20235.06,2015.97,2,184.03,1,7,0,0,1
